scenario,cost_att1,cost_att3
170,116904.09325326652,116904.09325326652
171,119272.56938585357,119272.56938585357
172,187965.97251,180012.05117799997
173,116883.78869489077,115253.54195917185
174,119272.56938585357,117837.61712051343
175,117840.45472323382,115028.55796604877
176,117448.06082070233,117448.06082070233
177,121543.8348978516,121543.8348978516
178,119848.80468522946,119848.80468522946
179,186336.517402,175643.038386
180,116010.0856029842,116010.0856029842
181,107509.1636540328,107509.1636540328
182,116568.59929480993,116568.59929480993
183,116542.64337892272,116542.64337892272
184,187965.97251,162976.194269
185,183576.009632,119051.75893685671
186,117103.40431795015,117103.40431795015
187,114545.2143628989,114545.2143628989
188,114604.03267855658,114604.03267855658
189,183677.56001,117229.58661200879
190,99214.86710317999,96189.49428768
191,115155.24997335853,101365.72693349999
192,115475.04178539543,115475.04178539543
193,115433.4831503174,114873.81768561406
194,121325.6220645773,121273.24238374364
195,118932.1485660012,118787.52474474309
196,121325.6220645773,121325.6220645773
197,121158.98231643015,121158.98231643015
198,122150.58581971655,122150.58581971655
199,124470.62704286563,124470.62704286563
200,124451.77243676336,124451.77243676336
201,124470.62704286563,124470.62704286563
202,187965.97251,186169.05807499998
203,129322.05596378316,129322.05596378316
204,128016.22560171878,128016.22560171878
205,187772.70262099997,176323.82900000003
206,121948.7099716879,121948.7099716879
207,123007.48788607448,123007.48788607448
208,120359.31680030795,120359.31680030795
209,183106.805562,125285.07138468478
210,184146.76408,183745.42137999999
211,118519.67274404403,118519.67274404403
212,123419.31872948924,119712.41456384516
213,121795.46434013512,121795.46434013512
214,119419.03584809125,119419.03584809125
215,117600.98201202188,117600.98201202188
216,115110.88616934001,115110.88616934001
217,115282.70077979575,115282.70077979575
218,119419.03584809125,119419.03584809125
219,111169.84401222254,104125.02319355811
220,110981.57427763127,110981.57427763127
221,110981.57427763127,110981.57427763127
222,99838.25853038,94639.73764119999
223,111169.84401222254,111169.84401222254
224,154073.79246199998,103706.812196
225,109769.12368160285,109751.4611149249
226,109750.97192163285,109750.97192163285
227,109983.54363347946,109983.54363347946
228,107178.13017119389,105848.82166658118
229,106524.92398888887,103299.26859378634
230,107591.64895900147,107591.64895900147
231,107567.8857024202,107567.8857024202
232,107703.47696844899,107703.47696844899
233,105252.95898873292,105252.95898873292
234,110224.25422433518,107441.33913667765
235,107754.2567492363,104262.35885678486
236,105098.44001963259,105098.44001963259
237,107040.95360932562,107040.95360932562
238,187965.97251,181597.31196700002
239,108295.70594199999,106088.23869118
240,104318.7167042399,104318.7167042399
241,104243.27600248596,104243.27600248596
242,104896.40606257986,104896.40606257986
243,104968.8776708684,94379.6172888427
244,106358.93595789518,106358.93595789518
245,104968.8776708684,101268.13616002923
246,107691.03031532,107691.03031532
247,105173.66744219413,104508.53519662577
248,105001.62164085759,105001.62164085759
249,107879.02677964391,107879.02677964391
250,110150.87736843653,110150.87736843653
251,111335.6318831888,111335.6318831888
252,113910.37369144427,113789.89967087575
253,106277.90558044576,100962.27382337478
254,187965.97251,187965.97251
255,113910.37369144427,113763.12116296301
256,117674.28946146514,117674.28946146514
257,120099.2347010155,120099.2347010155
258,120099.2347010155,119477.93076324555
259,187965.97251,119102.30323763893
260,123289.59885044124,121628.06831214091
261,120947.70940431675,120947.70940431675
262,120947.70940431675,120947.70940431675
263,187965.97251,124803.88142919716
264,99199.90112518,99199.90112518
265,122659.05662440487,119344.7889335982
266,124859.75395621486,124859.75395621486
267,124874.57932032518,124859.75395621486
268,122659.05662440487,119960.29311685328
269,124859.75395621486,124859.75395621486
270,124836.72777923453,124836.72777923453
271,187965.97251,124667.35448968352
272,124821.5275007459,124821.5275007459
273,187915.17458,186725.21231474998
274,122619.79557845589,121447.41948499875
275,123824.95241833772,123824.95241833772
276,126090.80615779897,126090.80615779897
277,113198.54889474281,113198.54889474281
278,185749.51442599998,185749.51442599998
279,152069.034103,116534.13039233536
280,126697.29183767321,126697.29183767321
281,125875.6303327051,125875.6303327051
282,126731.57656795732,126731.57656795732
283,128099.68307123342,128099.68307123342
284,126731.57656795732,126731.57656795732
285,126135.34329849448,126132.69606265372
286,125269.53273766143,125269.53273766143
287,126132.69606265372,126132.69606265372
288,123724.23250762673,119348.49875861601
289,125992.79460965916,125988.80044978751
290,176877.590658,170486.09251850002
291,187736.682294,125988.80044978751
292,125988.80044978751,125988.80044978751
293,127041.1364923446,110556.89977294157
294,124900.2007527088,124900.2007527088
295,127035.45381941863,127035.45381941863
296,124795.87921041214,124795.87921041214
297,119569.51832243441,118318.62820257324
298,127492.04662292979,127492.04662292979
299,128832.3981087811,128149.14989487185
300,187965.97251,177899.134876
301,127492.04662292979,127492.04662292979
302,129865.72583502249,129865.72583502249
303,128783.647368449,128783.647368449
304,130835.80831141307,130188.34395902648
305,127429.91122174214,124713.63049049999
306,127729.05385979885,127729.05385979885
307,133262.6391196614,133262.6391196614
308,133207.75557880054,133207.75557880054
