scenario,time_att1,time_att3
290,1.528869867324829,4.912430763244629
291,1.6297237873077393,4.809077978134155
292,1.125931739807129,5.116727828979492
293,1.7361469268798828,5.836191654205322
294,1.5311329364776611,5.014917850494385
295,1.4288301467895508,4.603063106536865
296,1.4273850917816162,5.721616268157959
297,1.5399799346923828,5.456662893295288
298,1.5185089111328125,5.628293991088867
299,1.5123519897460938,5.614159107208252
300,1.4379839897155762,5.210485935211182
301,1.5357139110565186,5.225922107696533
302,1.861842155456543,5.644025087356567
303,1.4192068576812744,5.206531047821045
304,1.7912969589233398,5.210960865020752
305,2.1533470153808594,5.529575824737549
306,1.3331539630889893,5.8385169506073
307,1.532348871231079,4.914355039596558
308,1.3960368633270264,5.627839088439941
309,1.7713847160339355,6.278125047683716
310,1.4975240230560303,5.392056941986084
311,1.5295989513397217,4.97213888168335
312,1.369413137435913,5.455922842025757
313,1.3233330249786377,5.218577146530151
314,1.6369688510894775,5.053107023239136
315,1.4907917976379395,5.057604074478149
316,1.4055578708648682,5.259083986282349
317,1.7154178619384766,5.197701930999756
318,1.5410418510437012,4.916960954666138
319,1.5256881713867188,5.401737928390503
320,1.2407119274139404,4.929501056671143
321,1.3217668533325195,5.153533935546875
322,1.1923620700836182,4.763664960861206
323,1.4413261413574219,5.156524181365967
324,1.7359018325805664,6.116625070571899
325,1.3292040824890137,5.107618093490601
326,1.7456231117248535,5.936546087265015
327,1.9368140697479248,5.836071968078613
328,1.214846134185791,6.351938962936401
329,1.4139831066131592,4.86115288734436
330,2.1686971187591553,4.033788204193115
331,1.3225908279418945,5.352664947509766
332,1.598459005355835,4.88277006149292
333,1.53599214553833,5.521305084228516
334,2.2525200843811035,6.042744159698486
335,1.4439771175384521,5.028602123260498
336,1.3886451721191406,4.078575134277344
337,1.5246338844299316,5.352076768875122
338,1.3091418743133545,5.197021007537842
339,1.8345930576324463,4.496455907821655
340,1.3250610828399658,4.913522243499756
341,1.2233221530914307,5.218202114105225
342,1.632922887802124,4.708327054977417
343,1.429853916168213,5.226193904876709
344,1.334784984588623,5.010917901992798
345,1.535902976989746,5.733953952789307
346,2.551309108734131,6.34164023399353
347,1.6298670768737793,5.322020053863525
348,1.9396400451660156,5.997781991958618
349,1.4699578285217285,4.9547882080078125
350,1.939784288406372,5.936254024505615
351,1.4262170791625977,5.216252088546753
352,1.2860400676727295,5.029997110366821
353,1.7257542610168457,5.514910936355591
354,1.7416298389434814,5.528839826583862
355,1.6355781555175781,5.428826093673706
356,1.9396159648895264,6.331378936767578
357,1.3499128818511963,5.660979986190796
358,1.8197047710418701,6.126199007034302
359,1.4292469024658203,5.63186502456665
360,1.6294300556182861,5.666697025299072
361,1.3892490863800049,5.2836222648620605
362,1.6363918781280518,6.9592719078063965
363,1.5335032939910889,4.916693925857544
364,1.4256830215454102,5.702384948730469
365,1.5582590103149414,5.1696131229400635
